student_number,subject_code,unit_type,faculty,credit_unit,grade
23-12345,CS 310,lec,"Santiago, Al",2,1.50
23-12345,CS 310,lab,"Santiago, Al",1,1.50
23-12345,CS 311,lec,"Torres, Jay-R",2,1.25
23-12345,CS 311,lab,"Torres, Jay-R",1,1.25
23-12345,CS 312,lec,"Francisco, Dan",2,1.75
23-12345,CS 312,lab,"Francisco, Dan",1,1.75
23-12345,CS 313,lec,"Francisco, Dan",2,1.50
23-12345,CS 313,lab,"Francisco, Dan",1,1.50
23-12345,CS 314,lec,"Delos Reyes, Amelita M.",3,1.50
23-12345,GCAS 19,lec,"Agcaoili, Rosminea",3,1.25
23-12345,GCAS IR,lec,"Ansula, Andreline",3,1.25
